analysis	anchor_gene	candidate_gene	rank	distance	anchor_length_quintile	candidate_length_quintile	expansion_rule	selected_count	selected_prop
PRIMARY_K50	BRCA2	KIF14	22	0.21888976601965132	4	4	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	BRCA2	RIGI	23	0.22397608812521358	4	4	PRIMARY_K50_50	219	0.0219
PRIMARY_K50	BRCA2	ATP6V1A	24	0.23324483423687026	4	4	PRIMARY_K50_50	205	0.0205
PRIMARY_K50	BRCA2	DNM1L	25	0.24350064860892975	4	4	PRIMARY_K50_50	201	0.0201
PRIMARY_K50	BRCA2	PPP3R1	26	0.24902360358631367	4	4	PRIMARY_K50_50	213	0.0213
PRIMARY_K50	BRCA2	SPC25	27	0.2491901838604452	4	4	PRIMARY_K50_50	205	0.0205
PRIMARY_K50	BRCA2	HDAC2	28	0.24958928939662306	4	4	PRIMARY_K50_50	183	0.0183
PRIMARY_K50	BRCA2	RANBP2	29	0.2512854231374602	4	4	PRIMARY_K50_50	175	0.0175
PRIMARY_K50	BRCA2	FN1	30	0.25235515627017435	4	4	PRIMARY_K50_50	195	0.0195
PRIMARY_K50	BRCA2	DTL	31	0.25411932240156593	4	4	PRIMARY_K50_50	175	0.0175
PRIMARY_K50	BRCA2	PRKAA2	32	0.2550752380211952	4	4	PRIMARY_K50_50	184	0.0184
PRIMARY_K50	BRCA2	PIK3R4	33	0.2579651850181705	4	4	PRIMARY_K50_50	196	0.0196
PRIMARY_K50	BRCA2	MALT1	34	0.26755516046976163	4	4	PRIMARY_K50_50	174	0.0174
PRIMARY_K50	BRCA2	RALA	35	0.2723915795403379	4	4	PRIMARY_K50_50	206	0.0206
PRIMARY_K50	BRCA2	CSNK1A1	36	0.2751644100488545	4	4	PRIMARY_K50_50	179	0.0179
PRIMARY_K50	BRCA2	AP3S1	37	0.2791078305419321	4	4	PRIMARY_K50_50	180	0.018
PRIMARY_K50	BRCA2	IFI16	38	0.2835061705084776	4	4	PRIMARY_K50_50	194	0.0194
PRIMARY_K50	BRCA2	RAB38	39	0.28568360647264546	4	4	PRIMARY_K50_50	207	0.0207
PRIMARY_K50	BRCA2	MRE11	40	0.28644650159422563	4	4	PRIMARY_K50_50	184	0.0184
PRIMARY_K50	BRCA2	OPN3	41	0.28764410486197156	4	4	PRIMARY_K50_50	216	0.0216
PRIMARY_K50	BRCA2	CEP63	42	0.29561184546955904	4	4	PRIMARY_K50_50	212	0.0212
PRIMARY_K50	BRCA2	CCDC66	43	0.2972829741124657	4	4	PRIMARY_K50_50	199	0.0199
PRIMARY_K50	BRCA2	NCK1	44	0.2992536057980971	4	4	PRIMARY_K50_50	208	0.0208
PRIMARY_K50	BRCA2	USP8	45	0.29950326800133775	4	4	PRIMARY_K50_50	216	0.0216
PRIMARY_K50	BRCA2	BARD1	46	0.3040577509383022	4	4	PRIMARY_K50_50	207	0.0207
PRIMARY_K50	BRCA2	IRAK3	47	0.30459664835056227	4	4	PRIMARY_K50_50	209	0.0209
PRIMARY_K50	BRCA2	KDM1A	48	0.3052830297106573	4	4	PRIMARY_K50_50	222	0.0222
PRIMARY_K50	BRCA2	NUP107	49	0.3084442329979338	4	4	PRIMARY_K50_50	212	0.0212
PRIMARY_K50	BRCA2	NUP133	50	0.3093273152702209	4	4	PRIMARY_K50_50	218	0.0218
PRIMARY_K50	C4B	DEDD2	1	0.06379885998511337	3	3	PRIMARY_K50_50	191	0.0191
PRIMARY_K50	C4B	TMEM161A	2	0.09923958159313727	3	3	PRIMARY_K50_50	210	0.021
PRIMARY_K50	C4B	GDF6	3	0.10582563436269392	3	3	PRIMARY_K50_50	191	0.0191
PRIMARY_K50	C4B	RSPH6A	4	0.11550863571719908	3	3	PRIMARY_K50_50	191	0.0191
PRIMARY_K50	C4B	RAB4B	5	0.11707754212289773	3	3	PRIMARY_K50_50	216	0.0216
PRIMARY_K50	C4B	CFB	6	0.12100894843822188	3	3	PRIMARY_K50_50	184	0.0184
PRIMARY_K50	C4B	ETFB	7	0.12151145453175985	3	3	PRIMARY_K50_50	211	0.0211
PRIMARY_K50	C4B	DVL3	8	0.12913403265546372	3	3	PRIMARY_K50_50	189	0.0189
PRIMARY_K50	C4B	MTCH1	9	0.13052355702440335	3	3	PRIMARY_K50_50	235	0.0235
PRIMARY_K50	C4B	C4A	10	0.13732629134304028	3	3	PRIMARY_K50_50	179	0.0179
PRIMARY_K50	C4B	MESP2	11	0.14234959104944678	3	3	PRIMARY_K50_50	204	0.0204
PRIMARY_K50	C4B	CLTB	12	0.14599756339459777	3	3	PRIMARY_K50_50	186	0.0186
PRIMARY_K50	C4B	GGT5	13	0.14649995388240855	3	3	PRIMARY_K50_50	203	0.0203
PRIMARY_K50	C4B	ST6GALNAC6	14	0.15457035834857152	3	3	PRIMARY_K50_50	208	0.0208
PRIMARY_K50	C4B	ARHGAP1	15	0.15614693737359012	3	3	PRIMARY_K50_50	182	0.0182
PRIMARY_K50	C4B	SLC5A5	16	0.1632272907563125	3	3	PRIMARY_K50_50	219	0.0219
PRIMARY_K50	C4B	AFMID	17	0.16515954780063477	3	3	PRIMARY_K50_50	217	0.0217
PRIMARY_K50	C4B	NUMBL	18	0.16834759868062163	3	3	PRIMARY_K50_50	222	0.0222
PRIMARY_K50	C4B	ALOXE3	19	0.16892507172441357	3	3	PRIMARY_K50_50	204	0.0204
PRIMARY_K50	C4B	TMEM175	20	0.1710255547897169	3	3	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	C4B	RASIP1	21	0.1735865651340501	3	3	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	C4B	VMA12	22	0.17492112264713278	3	3	PRIMARY_K50_50	198	0.0198
PRIMARY_K50	C4B	GUSB	23	0.1757047656999734	3	3	PRIMARY_K50_50	221	0.0221
PRIMARY_K50	C4B	CAVIN1	24	0.17710767570603184	3	3	PRIMARY_K50_50	186	0.0186
PRIMARY_K50	C4B	SNRNP70	25	0.17789522982571943	3	3	PRIMARY_K50_50	186	0.0186
PRIMARY_K50	C4B	MDH2	26	0.1786050269875806	3	3	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	C4B	ZNF335	27	0.18065140364053645	3	3	PRIMARY_K50_50	185	0.0185
PRIMARY_K50	C4B	SEPTIN4	28	0.1858078535785527	3	3	PRIMARY_K50_50	229	0.0229
PRIMARY_K50	C4B	MVK	29	0.1905100224593507	3	3	PRIMARY_K50_50	203	0.0203
PRIMARY_K50	C4B	EIF3B	30	0.19132725216910862	3	3	PRIMARY_K50_50	219	0.0219
PRIMARY_K50	C4B	GCDH	31	0.19433611966258318	3	3	PRIMARY_K50_50	192	0.0192
PRIMARY_K50	C4B	DRC4	32	0.19437641881411538	3	3	PRIMARY_K50_50	196	0.0196
PRIMARY_K50	C4B	ECSIT	33	0.19700757149456957	3	3	PRIMARY_K50_50	206	0.0206
PRIMARY_K50	C4B	CABP1	34	0.19716770589154647	3	3	PRIMARY_K50_50	216	0.0216
PRIMARY_K50	C4B	CHRNA2	35	0.19743772453901742	3	3	PRIMARY_K50_50	208	0.0208
PRIMARY_K50	C4B	RBCK1	36	0.19761288369054802	3	3	PRIMARY_K50_50	200	0.02
PRIMARY_K50	C4B	CTSB	37	0.19766614685779962	3	3	PRIMARY_K50_50	223	0.0223
PRIMARY_K50	C4B	NECTIN4	38	0.20033404853514744	3	3	PRIMARY_K50_50	178	0.0178
PRIMARY_K50	C4B	ITPKC	39	0.20430688861883975	3	3	PRIMARY_K50_50	179	0.0179
PRIMARY_K50	C4B	CAPG	40	0.20621026546672178	3	3	PRIMARY_K50_50	173	0.0173
PRIMARY_K50	C4B	CD5	41	0.2089564304710636	3	3	PRIMARY_K50_50	182	0.0182
PRIMARY_K50	C4B	PTTG1IP	42	0.20901661297237883	3	3	PRIMARY_K50_50	200	0.02
PRIMARY_K50	C4B	VPS51	43	0.2113036429970725	3	3	PRIMARY_K50_50	199	0.0199
PRIMARY_K50	C4B	GUCA1A	44	0.2116109407477112	3	3	PRIMARY_K50_50	189	0.0189
PRIMARY_K50	C4B	UBQLN4	45	0.21385393339709607	3	3	PRIMARY_K50_50	219	0.0219
PRIMARY_K50	C4B	ITGAX	46	0.21758782588206912	3	3	PRIMARY_K50_50	214	0.0214
PRIMARY_K50	C4B	MCM5	47	0.21942362349457653	3	3	PRIMARY_K50_50	187	0.0187
PRIMARY_K50	C4B	AMER1	48	0.219723653396072	3	3	PRIMARY_K50_50	195	0.0195
PRIMARY_K50	C4B	LILRB3	49	0.2201697147154543	3	3	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	C4B	CSF2RB	50	0.22342008528457505	3	3	PRIMARY_K50_50	187	0.0187
PRIMARY_K50	CARD11	SH3PXD2B	1	0.1325570786593115	5	5	PRIMARY_K50_50	184	0.0184
PRIMARY_K50	CARD11	ST3GAL1	2	0.13259696661657117	5	5	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	CARD11	ARHGEF10	3	0.13983903018337038	5	5	PRIMARY_K50_50	212	0.0212
PRIMARY_K50	CARD11	SYT2	4	0.14912669670809794	5	5	PRIMARY_K50_50	220	0.022
PRIMARY_K50	CARD11	DLG5	5	0.1519475719594987	5	5	PRIMARY_K50_50	207	0.0207
PRIMARY_K50	CARD11	GNAO1	6	0.1616663183044608	5	5	PRIMARY_K50_50	211	0.0211
PRIMARY_K50	CARD11	NDUFA10	7	0.17048574381517687	5	5	PRIMARY_K50_50	220	0.022
PRIMARY_K50	CARD11	SULF2	8	0.1799864792168679	5	5	PRIMARY_K50_50	194	0.0194
PRIMARY_K50	CARD11	KDM2B	9	0.20417822516367684	5	5	PRIMARY_K50_50	209	0.0209
PRIMARY_K50	CARD11	RAPGEF1	10	0.2130928107862598	5	5	PRIMARY_K50_50	201	0.0201
PRIMARY_K50	CARD11	CAPZB	11	0.21801861350977228	5	5	PRIMARY_K50_50	195	0.0195
PRIMARY_K50	CARD11	CACNG2	12	0.23251308324024103	5	5	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	CARD11	SUFU	13	0.2387844376383039	5	5	PRIMARY_K50_50	194	0.0194
PRIMARY_K50	CARD11	LOXL2	14	0.24211824836972679	5	5	PRIMARY_K50_50	186	0.0186
PRIMARY_K50	CARD11	WHRN	15	0.24330676738580678	5	5	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	CARD11	CSNK1E	16	0.24694571125405393	5	5	PRIMARY_K50_50	217	0.0217
PRIMARY_K50	CARD11	FOXK2	17	0.25144545096355353	5	5	PRIMARY_K50_50	200	0.02
PRIMARY_K50	CARD11	SCNN1B	18	0.25330275301876615	5	5	PRIMARY_K50_50	199	0.0199
PRIMARY_K50	CARD11	MYH11	19	0.26304379127035105	5	5	PRIMARY_K50_50	203	0.0203
PRIMARY_K50	CARD11	DGKD	20	0.263805530421172	5	5	PRIMARY_K50_50	183	0.0183
PRIMARY_K50	CARD11	PXDN	21	0.2651919552532974	5	5	PRIMARY_K50_50	231	0.0231
PRIMARY_K50	CARD11	CHFR	22	0.26618659827323576	5	5	PRIMARY_K50_50	203	0.0203
PRIMARY_K50	CARD11	MYH14	23	0.274469069076783	5	5	PRIMARY_K50_50	209	0.0209
PRIMARY_K50	CARD11	NEURL1	24	0.2750852749031504	5	5	PRIMARY_K50_50	194	0.0194
