dataset	standalone_i	label_i	standalone_j	label_j	n_i	n_j	intersect_n	union_n	Jaccard	phi
SPARK	SA006	protein localization to phagophore assembly site	SA007	locomotor rhythm	15	11	0	26	0.0	-0.0007074534700992113
SPARK	SA006	protein localization to phagophore assembly site	SA008	purine ribonucleoside metabolic process	15	24	0	39	0.0	-0.0010453522792289627
SPARK	SA006	protein localization to phagophore assembly site	SA009	response to hydroxyurea	15	9	0	24	0.0	-0.0006398805043066645
SPARK	SA006	protein localization to phagophore assembly site	SA010	mitotic DNA replication	15	13	0	28	0.0	-0.0007691253615856998
SPARK	SA006	protein localization to phagophore assembly site	SA011	Ribavirin ADME	15	11	0	26	0.0	-0.0007074534700992113
SPARK	SA006	protein localization to phagophore assembly site	SA012	Specification of primordial germ cells	15	12	0	27	0.0	-0.0007389313970635241
SPARK	SA006	protein localization to phagophore assembly site	SA013	GBP-mediated host defense	15	11	0	26	0.0	-0.0007074534700992113
SPARK	SA007	locomotor rhythm	SA008	purine ribonucleoside metabolic process	11	24	0	35	0.0	-0.0008950876105732845
SPARK	SA007	locomotor rhythm	SA009	response to hydroxyurea	11	9	0	20	0.0	-0.0005479005719246458
SPARK	SA007	locomotor rhythm	SA010	mitotic DNA replication	11	13	0	24	0.0	-0.000658567064722753
SPARK	SA007	locomotor rhythm	SA011	Ribavirin ADME	11	11	0	22	0.0	-0.0006057602290875048
SPARK	SA007	locomotor rhythm	SA012	Specification of primordial germ cells	11	12	0	23	0.0	-0.0006327133462252691
SPARK	SA007	locomotor rhythm	SA013	GBP-mediated host defense	11	11	0	22	0.0	-0.0006057602290875048
SPARK	SA008	purine ribonucleoside metabolic process	SA009	response to hydroxyurea	24	9	0	33	0.0	-0.0008095926246173617
SPARK	SA008	purine ribonucleoside metabolic process	SA010	mitotic DNA replication	24	13	0	37	0.0	-0.0009731164115097398
SPARK	SA008	purine ribonucleoside metabolic process	SA011	Ribavirin ADME	24	11	3	32	0.09375	0.18392016107256967
SPARK	SA008	purine ribonucleoside metabolic process	SA012	Specification of primordial germ cells	24	12	0	36	0.0	-0.0009349142615448824
SPARK	SA008	purine ribonucleoside metabolic process	SA013	GBP-mediated host defense	24	11	0	35	0.0	-0.0008950876105732845
SPARK	SA009	response to hydroxyurea	SA010	mitotic DNA replication	9	13	0	22	0.0	-0.0005956635217796845
SPARK	SA009	response to hydroxyurea	SA011	Ribavirin ADME	9	11	0	20	0.0	-0.0005479005719246458
SPARK	SA009	response to hydroxyurea	SA012	Specification of primordial germ cells	9	12	0	21	0.0	-0.0005722792412162539
SPARK	SA009	response to hydroxyurea	SA013	GBP-mediated host defense	9	11	0	20	0.0	-0.0005479005719246458
SPARK	SA010	mitotic DNA replication	SA011	Ribavirin ADME	13	11	0	24	0.0	-0.000658567064722753
SPARK	SA010	mitotic DNA replication	SA012	Specification of primordial germ cells	13	12	0	25	0.0	-0.0006878698059497307
SPARK	SA010	mitotic DNA replication	SA013	GBP-mediated host defense	13	11	0	24	0.0	-0.000658567064722753
SPARK	SA011	Ribavirin ADME	SA012	Specification of primordial germ cells	11	12	0	23	0.0	-0.0006327133462252691
SPARK	SA011	Ribavirin ADME	SA013	GBP-mediated host defense	11	11	0	22	0.0	-0.0006057602290875048
SPARK	SA012	Specification of primordial germ cells	SA013	GBP-mediated host defense	12	11	0	23	0.0	-0.0006327133462252691
