database	pathway_id	pathway_name	frozen_tier_class	Tier1_BH	Tier1_BY	retained_under_BY	lost_under_BY
GO_BP	GO:0001845	phagolysosome assembly	Firth_only	NO	NO	NA	NO
GO_BP	GO:0001867	complement activation, lectin pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0001878	response to yeast	Neither	NO	NO	NA	NO
GO_BP	GO:0001881	receptor recycling	Neither	NO	NO	NA	NO
GO_BP	GO:0001885	endothelial cell development	Neither	NO	NO	NA	NO
GO_BP	GO:0001889	liver development	Neither	NO	NO	NA	NO
GO_BP	GO:0001890	placenta development	Neither	NO	NO	NA	NO
GO_BP	GO:0001892	embryonic placenta development	Neither	NO	NO	NA	NO
GO_BP	GO:0001893	maternal placenta development	Neither	NO	NO	NA	NO
GO_BP	GO:0001894	tissue homeostasis	Neither	NO	NO	NA	NO
GO_BP	GO:0001895	retina homeostasis	Neither	NO	NO	NA	NO
GO_BP	GO:0001906	cell killing	Neither	NO	NO	NA	NO
GO_BP	GO:0001909	leukocyte mediated cytotoxicity	Neither	NO	NO	NA	NO
GO_BP	GO:0001910	regulation of leukocyte mediated cytotoxicity	Neither	NO	NO	NA	NO
GO_BP	GO:0001911	negative regulation of leukocyte mediated cytotoxicity	Neither	NO	NO	NA	NO
GO_BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	Neither	NO	NO	NA	NO
GO_BP	GO:0001913	T cell mediated cytotoxicity	Neither	NO	NO	NA	NO
GO_BP	GO:0001914	regulation of T cell mediated cytotoxicity	Neither	NO	NO	NA	NO
GO_BP	GO:0001916	positive regulation of T cell mediated cytotoxicity	Neither	NO	NO	NA	NO
GO_BP	GO:0001919	regulation of receptor recycling	Neither	NO	NO	NA	NO
GO_BP	GO:0001921	positive regulation of receptor recycling	Neither	NO	NO	NA	NO
GO_BP	GO:0001932	regulation of protein phosphorylation	Neither	NO	NO	NA	NO
GO_BP	GO:0001933	negative regulation of protein phosphorylation	Firth_only	NO	NO	NA	NO
GO_BP	GO:0001934	positive regulation of protein phosphorylation	Neither	NO	NO	NA	NO
GO_BP	GO:0001935	endothelial cell proliferation	Neither	NO	NO	NA	NO
GO_BP	GO:0001936	regulation of endothelial cell proliferation	Neither	NO	NO	NA	NO
GO_BP	GO:0001937	negative regulation of endothelial cell proliferation	Neither	NO	NO	NA	NO
