stage	stage_scope	database	family_n	pathway_id	pathway_name	P	q_BH	q_BY	BH_class	BY_class	classification_changed
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006957	complement activation, alternative pathway	0.13473910512845	0.5302008107942617	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006959	humoral immune response	0.0257152928010913	0.3064590634467417	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006968	cellular defense response	0.376627739848613	0.6632229214532592	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006970	response to osmotic stress	0.834489560644255	0.9225963203640763	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006971	hypotonic response	0.22127217886501	0.6110721773096222	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006972	hyperosmotic response	0.3206294953612	0.6388014915536313	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006979	response to oxidative stress	0.527204251395242	0.7451449870878838	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006984	ER-nucleus signaling pathway	0.429893559688798	0.6968624262187473	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006986	response to unfolded protein	0.836634821722304	0.9235689241212389	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006991	response to sterol depletion	0.218424898078148	0.6102472405479777	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
