source	pathway_id	pathway_name	pathway_size	raw26_n	raw26_pathway_n	nonraw26_pathway_n	beta_Firth	SE_Firth	logCI95L	logCI95U	OR_Firth	CI95L	CI95U	P_Firth	q_Firth	fit_status	converged	solver_attempt	solver_type	iterations	prob01_warning	warning	enriched_flag	depleted_flag
GO_BP	GO:0006302	double-strand break repair	216	26	4	212	2.15205751498798	0.526407908739482	1.12031697268155	3.18379805729441	8.60254005590095	3.06582583233017	24.1382581596731	4.34745017836704e-05	0.00603313094972793	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:1905268	negative regulation of chromatin organization	13	26	1	12	3.86716077772379	0.946920790126542	2.01123013286356	5.72309142258402	47.8064600437106	7.47250386842161	305.848971396203	4.42798601814894e-05	0.00603313094972793	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0070527	platelet aggregation	38	26	2	36	2.92533417986822	0.720354211825148	1.5134658685792	4.33720249115725	18.6404542737203	4.54244706787781	76.4932491977265	4.8870025584197e-05	0.00649613754716765	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:1990822	basic amino acid transmembrane transport	20	26	1	19	3.67117080743353	0.910591081545156	1.88644508296165	5.45589653190541	39.2978891970292	6.59587915093836	234.134686218786	5.53901821201163e-05	0.00706781220169686	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:1903028	positive regulation of opsonization	16	26	1	15	3.76016528878352	0.933031334467351	1.93145747678017	5.58887310078687	42.9555254585632	6.89955886382313	267.434078589604	5.57643898482504e-05	0.00706781220169686	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:2000781	positive regulation of double-strand break repair	100	26	3	97	2.37626305535869	0.593812951102312	1.21241105764472	3.54011505307267	10.7646008900972	3.3615798524322	34.4708849439474	6.28882127585959e-05	0.00740634729363245	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:1903027	regulation of opsonization	18	26	1	17	3.67415895268341	0.919677825097252	1.87162353811266	5.47669436725415	39.4154926185094	6.49883895157921	239.055171229048	6.46805840330075e-05	0.00740634729363245	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0000730	DNA recombinase assembly	10	26	1	9	3.97398588759098	0.9952689821497	2.02329452764773	5.92467724753423	53.1961426739944	7.56320110869632	374.157655564411	6.52766378097687e-05	0.00740634729363245	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0090735	DNA repair complex assembly	10	26	1	9	3.97398588759098	0.9952689821497	2.02329452764773	5.92467724753423	53.1961426739944	7.56320110869632	374.157655564411	6.52766378097687e-05	0.00740634729363245	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0007131	reciprocal meiotic recombination	66	26	2	64	2.76410786394194	0.694139840945565	1.40361877545427	4.12459695242961	15.8648800437096	4.0699014095132	61.8428786046198	6.83199590922712e-05	0.00740634729363245	PASS	TRUE	A_ASMEAN_RA05	AS_mean	39	FALSE	""	TRUE	FALSE
