source	pathway_id	pathway_name	n_genes	primary_10_500_flag
GO_BP	GO:0001706	endoderm formation	45	1
GO_BP	GO:0001707	mesoderm formation	31	1
GO_BP	GO:0001708	cell fate specification	49	1
GO_BP	GO:0001709	cell fate determination	20	1
GO_BP	GO:0001710	mesodermal cell fate commitment	6	0
GO_BP	GO:0001711	endodermal cell fate commitment	10	1
GO_BP	GO:0001714	endodermal cell fate specification	5	0
GO_BP	GO:0001717	conversion of seryl-tRNAsec to selenocys-tRNAsec	1	0
GO_BP	GO:0001731	formation of translation preinitiation complex	8	0
GO_BP	GO:0001732	formation of cytoplasmic translation initiation complex	15	1
GO_BP	GO:0001736	establishment of planar polarity	9	0
GO_BP	GO:0001738	morphogenesis of a polarized epithelium	25	1
GO_BP	GO:0001743	lens placode formation	1	0
GO_BP	GO:0001754	eye photoreceptor cell differentiation	26	1
GO_BP	GO:0001755	neural crest cell migration	25	1
GO_BP	GO:0001756	somitogenesis	19	1
GO_BP	GO:0001757	somite specification	2	0
GO_BP	GO:0001759	organ induction	9	0
GO_BP	GO:0001762	beta-alanine transport	3	0
GO_BP	GO:0001763	morphogenesis of a branching structure	65	1
GO_BP	GO:0001764	neuron migration	82	1
GO_BP	GO:0001765	membrane raft assembly	12	1
GO_BP	GO:0001766	membrane raft polarization	2	0
GO_BP	GO:0001767	establishment of lymphocyte polarity	7	0
GO_BP	GO:0001768	establishment of T cell polarity	6	0
GO_BP	GO:0001770	establishment of natural killer cell polarity	1	0
GO_BP	GO:0001771	immunological synapse formation	6	0
GO_BP	GO:0001773	myeloid dendritic cell activation	14	1
GO_BP	GO:0001774	microglial cell activation	32	1
GO_BP	GO:0001775	cell activation	607	0
GO_BP	GO:0001776	leukocyte homeostasis	65	1
GO_BP	GO:0001778	plasma membrane repair	23	1
GO_BP	GO:0001779	natural killer cell differentiation	9	0
GO_BP	GO:0001780	neutrophil homeostasis	10	1
GO_BP	GO:0001781	neutrophil apoptotic process	2	0
GO_BP	GO:0001782	B cell homeostasis	10	1
GO_BP	GO:0001783	B cell apoptotic process	3	0
GO_BP	GO:0001787	natural killer cell proliferation	3	0
GO_BP	GO:0001788	antibody-dependent cellular cytotoxicity	6	0
GO_BP	GO:0001794	type IIa hypersensitivity	6	0
GO_BP	GO:0001796	regulation of type IIa hypersensitivity	2	0
GO_BP	GO:0001797	negative regulation of type IIa hypersensitivity	1	0
GO_BP	GO:0001798	positive regulation of type IIa hypersensitivity	1	0
GO_BP	GO:0001803	regulation of type III hypersensitivity	1	0
GO_BP	GO:0001805	positive regulation of type III hypersensitivity	1	0
GO_BP	GO:0001806	type IV hypersensitivity	1	0
GO_BP	GO:0001807	regulation of type IV hypersensitivity	2	0
GO_BP	GO:0001809	positive regulation of type IV hypersensitivity	1	0
GO_BP	GO:0001810	regulation of type I hypersensitivity	2	0
GO_BP	GO:0001811	negative regulation of type I hypersensitivity	1	0
GO_BP	GO:0001812	positive regulation of type I hypersensitivity	1	0
GO_BP	GO:0001813	regulation of antibody-dependent cellular cytotoxicity	2	0
GO_BP	GO:0001814	negative regulation of antibody-dependent cellular cytotoxicity	1	0
GO_BP	GO:0001815	positive regulation of antibody-dependent cellular cytotoxicity	1	0
GO_BP	GO:0001816	cytokine production	21	1
GO_BP	GO:0001817	regulation of cytokine production	749	0
GO_BP	GO:0001818	negative regulation of cytokine production	274	1
GO_BP	GO:0001819	positive regulation of cytokine production	483	1
GO_BP	GO:0001820	serotonin secretion	3	0
GO_BP	GO:0001821	histamine secretion	6	0
GO_BP	GO:0001822	kidney development	204	1
GO_BP	GO:0001823	mesonephros development	63	1
GO_BP	GO:0001824	blastocyst development	20	1
GO_BP	GO:0001825	blastocyst formation	13	1
GO_BP	GO:0001826	inner cell mass cell differentiation	3	0
GO_BP	GO:0001829	trophectodermal cell differentiation	6	0
GO_BP	GO:0001832	blastocyst growth	3	0
GO_BP	GO:0001833	inner cell mass cell proliferation	1	0
GO_BP	GO:0001834	trophectodermal cell proliferation	2	0
GO_BP	GO:0001836	release of cytochrome c from mitochondria	20	1
GO_BP	GO:0001837	epithelial to mesenchymal transition	74	1
GO_BP	GO:0001838	embryonic epithelial tube formation	50	1
GO_BP	GO:0001840	neural plate development	2	0
GO_BP	GO:0001841	neural tube formation	37	1
